Month,"Monthly consumption, TWh","Cumulative consumption, TWh"
Jul-10,0,0
Aug-10,0,0.0001
Sep-10,0.0001,0.0001
Oct-10,0.0002,0.0003
Nov-10,0.0003,0.0006
Dec-10,0.0006,0.0012
Jan-11,0.0009,0.0021
Feb-11,0.0015,0.0036
Mar-11,0.0019,0.0055
Apr-11,0.0024,0.0079
May-11,0.011,0.0189
Jun-11,0.0391,0.058
Jul-11,0.047,0.1049
Aug-11,0.0169,0.1219
Sep-11,0.012,0.1339
Oct-11,0.0031,0.137
Nov-11,0.0004,0.1374
Dec-11,0.0016,0.139
Jan-12,0.0056,0.1446
Feb-12,0.0053,0.1499
Mar-12,0.0062,0.1562
Apr-12,0.006,0.1622
May-12,0.0065,0.1687
Jun-12,0.0066,0.1753
Jul-12,0.0076,0.1829
Aug-12,0.0098,0.1927
Sep-12,0.0117,0.2044
Oct-12,0.0139,0.2183
Nov-12,0.0129,0.2312
Dec-12,0.0063,0.2374
Jan-13,0.0045,0.242
Feb-13,0.0127,0.2547
Mar-13,0.0222,0.2769
Apr-13,0.0417,0.3186
May-13,0.0346,0.3532
Jun-13,0.0501,0.4033
Jul-13,0.028,0.4313
Aug-13,0.0565,0.4878
Sep-13,0.0837,0.5715
Oct-13,0.0654,0.6368
Nov-13,0.1312,0.768
Dec-13,0.5261,1.2941
Jan-14,0.3101,1.6042
Feb-14,0.4397,2.0439
Mar-14,0.4476,2.4915
Apr-14,0.2997,2.7912
May-14,0.3151,3.1063
Jun-14,0.4438,3.5501
Jul-14,0.5856,4.1357
Aug-14,0.6988,4.8345
Sep-14,0.2611,5.0956
Oct-14,0.2925,5.3881
Nov-14,0.315,5.7031
Dec-14,0.3238,6.0269
Jan-15,0.3308,6.3577
Feb-15,0.2615,6.6192
Mar-15,0.2958,6.915
Apr-15,0.2564,7.1714
May-15,0.2893,7.4607
Jun-15,0.2955,7.7562
Jul-15,0.3199,8.0761
Aug-15,0.311,8.3871
Sep-15,0.2242,8.6113
Oct-15,0.2429,8.8542
Nov-15,0.331,9.1852
Dec-15,0.4607,9.6458
Jan-16,0.3727,10.0185
Feb-16,0.442,10.4605
Mar-16,0.5003,10.9608
Apr-16,0.5203,11.4811
May-16,0.5913,12.0724
Jun-16,0.601,12.6734
Jul-16,0.6008,13.2742
Aug-16,0.3692,13.6435
Sep-16,0.3724,14.0159
Oct-16,0.4158,14.4317
Nov-16,0.4357,14.8674
Dec-16,0.5088,15.3763
Jan-17,0.6113,15.9876
Feb-17,0.6133,16.6008
Mar-17,0.7367,17.3375
Apr-17,0.565,17.9025
May-17,0.7692,18.6717
Jun-17,0.9188,19.5905
Jul-17,1.01,20.6005
Aug-17,1.0999,21.7004
Sep-17,1.2614,22.9618
Oct-17,1.4572,24.419
Nov-17,1.4447,25.8637
Dec-17,2.4408,28.3045
Jan-18,2.7833,31.0877
Feb-18,2.4853,33.573
Mar-18,2.9306,36.5036
Apr-18,2.8927,39.3963
May-18,3.5143,42.9106
Jun-18,4.0268,46.9374
Jul-18,4.0546,50.992
Aug-18,4.6611,55.6531
Sep-18,4.564,60.2171
Oct-18,4.6581,64.8752
Nov-18,3.8245,68.6997
Dec-18,2.9258,71.6255
Jan-19,3.2029,74.8284
Feb-19,2.8459,77.6742
Mar-19,3.2867,80.9609
Apr-19,3.4464,84.4073
May-19,4.1245,88.5319
Jun-19,4.1935,92.7254
Jul-19,5.1472,97.8726
Aug-19,5.219,103.0916
Sep-19,5.9552,109.0468
Oct-19,6.0206,115.0674
Nov-19,5.5421,120.6095
Dec-19,5.6457,126.2553
Jan-20,6.2975,132.5527
Feb-20,6.0538,138.6066
Mar-20,5.7149,144.3215
Apr-20,5.7463,150.0677
May-20,5.642,155.7097
Jun-20,4.6214,160.3311
Jul-20,4.6824,165.0135
Aug-20,5.1729,170.1864
Sep-20,5.3084,175.4947
Oct-20,5.3098,180.8045
Nov-20,5.9273,186.7318
Dec-20,6.6615,193.3933
Jan-21,8.0296,201.4229
Feb-21,7.6653,209.0882
Mar-21,8.9632,218.0515
Apr-21,8.4896,226.5411
May-21,8.7167,235.2578
Jun-21,6.296,241.5538
Jul-21,5.0271,246.5809
Aug-21,6.1944,252.7753
Sep-21,6.6483,259.4236
Oct-21,7.2084,266.632
Nov-21,7.5727,274.2047
Dec-21,8.1908,282.3955
Jan-22,8.665,291.0605
Feb-22,8.0341,299.0945
Mar-22,8.7912,307.8857
Apr-22,8.8152,316.701
May-22,9.2135,325.9145
Jun-22,7.8795,333.794
Jul-22,6.903,340.697
Aug-22,7.3288,348.0258
Sep-22,7.326,355.3517
Oct-22,8.1699,363.5217
Nov-22,7.4272,370.9489
Dec-22,6.9762,377.9251
Jan-23,7.8534,385.7785
Feb-23,7.7767,393.5551
Mar-23,9.3296,402.8848
Apr-23,9.6735,412.5582
May-23,10.4547,423.013
Jun-23,10.0275,433.0405
Jul-23,10.3252,443.3656
Aug-23,10.2734,453.639
Sep-23,9.9561,463.5952
Oct-23,11.0169,474.6121
Nov-23,11.6529,486.265
Dec-23,12.7941,499.0591
Jan-24,13.1233,512.1824
Feb-24,10.9847,523.1671
